Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TSPracticeFormNegativeMandatory,Chrome 142.0.7444.176,,,27-11-2025 21:57:30,27-11-2025 22:07:27,"9m - 56,713s",PASSED
,,,,,,,
Test Cases/Negative/Case01-2-N2 Alert Notification For Mandatory Field On First Name Field,Chrome 142.0.7444.176,Sebagai Sample,,27-11-2025 21:57:31,27-11-2025 21:58:24,"53,223s",PASSED
"DATA BINDING - {""(Default) First..."":""""}",,,,,,,
"openBrowser("""")",Chrome 142.0.7444.176,,,27-11-2025 21:57:32,27-11-2025 21:57:36,"3,997s",PASSED
"navigateToUrl(""https://demoqa.com/automation-practice-form"")",Chrome 142.0.7444.176,,,27-11-2025 21:57:36,27-11-2025 21:58:03,"27,148s",PASSED
maximizeWindow(),Chrome 142.0.7444.176,,,27-11-2025 21:58:03,27-11-2025 21:58:03,"0,121s",PASSED
delay(2),Chrome 142.0.7444.176,,,27-11-2025 21:58:03,27-11-2025 21:58:05,"2,076s",PASSED
"verifyElementPresent(findTestObject(""Page_DEMOQA/input_Name_firstName""), 8)",Chrome 142.0.7444.176,,,27-11-2025 21:58:05,27-11-2025 21:58:05,"0,474s",PASSED
"verifyElementVisible(findTestObject(""Page_DEMOQA/input_Name_firstName""), STOP_ON_FAILURE)",Chrome 142.0.7444.176,,,27-11-2025 21:58:05,27-11-2025 21:58:06,"0,485s",PASSED
delay(2),Chrome 142.0.7444.176,,,27-11-2025 21:58:06,27-11-2025 21:58:08,"2,039s",PASSED
"setText(findTestObject(""Page_DEMOQA/input_Name_firstName""), Firstname)",Chrome 142.0.7444.176,,,27-11-2025 21:58:08,27-11-2025 21:58:09,"1,085s",PASSED
delay(2),Chrome 142.0.7444.176,,,27-11-2025 21:58:09,27-11-2025 21:58:11,"2,026s",PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_DEMOQA/button_Submit""), 0)",Chrome 142.0.7444.176,,,27-11-2025 21:58:11,27-11-2025 21:58:11,"0,322s",PASSED
delay(2),Chrome 142.0.7444.176,,,27-11-2025 21:58:11,27-11-2025 21:58:13,"2,020s",PASSED
"scrollToElement(findTestObject(""Page_DEMOQA/button_Submit""), 100)",Chrome 142.0.7444.176,,,27-11-2025 21:58:13,27-11-2025 21:58:14,"0,407s",PASSED
delay(2),Chrome 142.0.7444.176,,,27-11-2025 21:58:14,27-11-2025 21:58:16,"2,032s",PASSED
